	shannon	observed_otus
KO6	6.32810812369	280.0
WT8	4.99503153014	208.0
KO2	6.03513878126	246.0
KO5	6.17157572491	284.0
OE2	5.63594094887	237.0
WT1	5.35488834042	239.0
WT2	5.90822723725	263.0
WT4	5.96137520462	258.0
KO7	5.96357414444	250.0
KO3	4.74793016151	210.0
WT6	5.83949054716	245.0
OE4	5.74416692166	240.0
KO9	6.02943422368	255.0
WT3	5.94960753433	247.0
KO1	5.78651841703	254.0
KO4	5.91210242727	251.0
WT5	5.57011012806	231.0
KO8	5.8709586886	239.0
OE6	5.70193790989	217.0
OE5	5.79575730908	233.0
WT7	6.11570449066	261.0
OE7	5.70324056612	225.0
WT9	5.53920598166	233.0
OE1	5.83058063972	226.0
OE8	5.89386638362	236.0
OE9	5.80943956811	226.0
OE3	5.54620046858	217.0
