	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.14449557509	353.833333333	205.0	1.82184
WT8	4.97397479912	274.517241379	160.0	1.24419
KO2	6.01704441679	308.333333333	202.0	1.94576
KO5	5.97989703964	325.0	196.0	1.55271
OE2	5.62379439413	316.034482759	181.0	1.94722
WT1	5.39184279702	285.7	190.0	1.82122
WT2	5.8180772348	305.108108108	204.0	1.79677
WT4	5.78513135308	336.230769231	189.0	1.89442
KO7	5.8013755683	319.375	181.0	1.45304
KO3	4.76105673922	312.64	163.0	1.74719
WT6	5.70658910086	293.9375	185.0	1.73406
OE4	5.61530859593	372.807692308	190.0	1.40335
KO9	5.79202626135	315.12	179.0	1.91441
WT3	5.97774523443	312.176470588	197.0	1.89951
KO1	5.66815831051	274.870967742	178.0	1.82014
KO4	5.79158736291	397.9	184.0	1.86154
WT5	5.46698667411	217.285714286	165.0	1.59488
KO8	5.80900246337	303.0	184.0	1.82572
OE6	5.61414280367	253.40625	169.0	1.6464
OE5	5.69615543715	288.0	174.0	1.67908
WT7	5.973033283	316.578947368	204.0	1.79617
OE7	5.54303471582	301.6	172.0	1.45238
WT9	5.46249555184	314.5	181.0	1.66725
OE1	5.84999430736	244.029411765	173.0	1.5862
OE8	5.77175140258	280.935483871	179.0	1.69796
OE9	5.7522150093	284.486486486	188.0	1.66885
OE3	5.38413571663	239.903225806	162.0	1.78612
