#OTU ID	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	OE4	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	OE3
OTU_52	30	12	16	23	3	15	20	16	28	11	11	17	22	32	19	19	20	15	7	16	22	6	16	15	42	22	0
OTU_12	463	150	327	333	347	296	316	339	330	181	273	289	339	369	354	326	367	286	284	335	415	272	303	348	281	316	200
OTU_26	36	44	37	44	38	24	32	29	23	20	50	34	40	35	42	28	11	37	26	51	30	35	41	33	42	32	25
OTU_81	47	53	40	235	104	47	24	66	108	42	360	140	72	47	66	54	34	84	112	137	75	141	51	99	68	99	123
OTU_39	33	24	40	24	66	25	41	32	43	33	24	38	31	32	27	24	24	73	35	70	35	35	22	66	74	47	64
OTU_2	757	438	1017	552	1034	505	331	607	641	640	379	778	550	526	1141	636	611	1189	683	750	606	764	493	677	764	665	884
OTU_3	493	1031	671	1061	990	625	555	815	742	386	791	1101	855	847	705	1105	711	602	975	1031	506	1105	732	986	880	1089	1109
OTU_1	753	1972	875	875	403	2652	2158	1450	1189	3073	1628	378	691	1367	918	1075	2090	770	438	359	1238	393	1821	396	398	450	357
OTU_5	385	127	219	263	271	259	237	256	300	83	209	213	305	357	189	273	216	233	217	193	316	228	249	279	285	200	204
OTU_262	33	20	27	22	50	32	47	17	77	13	15	72	41	35	26	70	45	74	54	54	76	35	28	66	61	58	25
OTU_67	30	26	9	9	16	4	11	11	11	24	20	4	7	14	11	8	10	15	9	19	11	19	11	9	29	15	17
OTU_15	72	106	79	54	57	58	56	55	56	44	57	60	61	64	75	57	42	79	100	99	64	96	99	69	113	97	64
OTU_49	666	985	661	788	1176	529	437	642	788	573	441	1310	1016	675	913	693	533	964	1322	1240	706	1275	722	1166	1051	1136	1381
OTU_111	375	626	382	458	681	276	302	503	517	646	252	497	576	339	451	379	223	549	739	715	275	789	437	560	628	607	994
OTU_23	175	45	152	137	132	106	170	83	133	55	90	106	172	131	122	162	207	134	196	188	201	255	81	234	281	140	183
OTU_62	15	2	10	9	9	7	11	8	16	2	9	13	17	18	9	15	10	20	5	21	13	19	8	30	10	26	8
OTU_8	109	43	87	94	139	65	79	98	124	50	71	162	74	138	75	106	145	105	138	129	136	112	74	135	165	148	68
OTU_58	26	13	73	27	16	43	51	54	41	31	24	30	25	40	31	28	17	31	35	32	52	21	21	60	29	39	38
OTU_43	43	9	19	22	9	23	42	20	22	17	22	34	32	24	17	34	39	22	37	40	30	25	13	30	19	56	17
OTU_16	33	6	66	114	13	42	48	66	16	28	492	17	28	58	35	44	36	11	28	19	57	27	11	18	23	22	25
OTU_20	132	68	116	115	126	102	99	106	108	70	102	106	234	112	130	154	80	103	117	104	171	135	107	141	107	118	127
OTU_30	25	30	22	20	13	33	23	29	16	26	27	21	28	33	29	19	16	12	16	11	33	6	37	9	13	13	17
OTU_9	170	62	90	145	76	113	84	124	120	52	82	132	116	155	96	128	148	92	96	80	108	83	105	90	104	86	72
OTU_37	88	49	52	65	72	47	159	72	317	13	164	43	71	77	50	80	51	88	47	54	61	48	41	90	29	28	51
OTU_627	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_94	27	11	25	26	16	25	22	29	37	17	17	17	25	25	14	22	26	16	21	13	24	29	15	15	26	11	13
OTU_176	4	1	7	5	13	5	5	5	6	3	4	4	4	3	3	3	4	5	7	0	4	6	3	3	10	2	0
OTU_783	6	3	3	5	16	3	10	4	4	3	5	13	21	9	8	6	45	6	5	35	7	10	7	9	13	15	8
OTU_10	95	5	80	32	28	32	82	51	128	6	54	43	43	121	21	34	41	34	30	19	202	27	48	24	23	17	21
OTU_116	10	1	7	5	9	16	20	8	7	2	7	13	13	7	6	7	4	4	7	11	11	4	9	12	16	15	17
OTU_27	35	26	20	7	63	21	9	40	28	6	52	38	44	6	19	21	8	22	63	48	15	52	18	63	26	155	0
