# Constructed from biom file
#OTU ID	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	OE4	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	OE3
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae	0.00208776984425	0.000660229429727	0.00437326063497	0.00214527662778	0.00126063662149	0.00136169109065	0.00533855926477	0.00448886760833	0.000664933808862	0.0011681268252	0.000838222967309	0.000850340136054	0.00208838025228	0.00269993482916	0.00180892402519	0.0014549732223	0.000824193241615	0.00157798165138	0.00116577290744	0.000803643182427	0.00350144771396	0.000964320154291	0.00197355437142	0.000599340725202	0.000970559689421	0.000430292598967	0.000849978750531
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000119703136222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;Other;Other;Other;Other	0.00025053238131	0.000330114714863	0.000397569148634	0.000112909296199	0.0	0.000259369731552	6.7576699554e-05	0.000179554704333	0.000272018376353	0.000278125434571	0.000698519139424	0.0	0.000306295770334	0.000372404804022	0.000133994372236	0.000309568770702	0.000253597920497	0.000110091743119	0.000233154581488	0.0	0.000404013197764	0.0	0.000460496019999	0.0	0.0	0.0	0.000849978750531
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__	4.1755396885e-05	0.0	0.00028397796331	0.0	0.0	0.0	0.000202730098662	0.0	0.000120897056157	2.78125434571e-05	0.0	0.0	5.56901400607e-05	0.0	0.000133994372236	3.09568770702e-05	0.0	0.000146788990826	0.0	0.0	6.73355329607e-05	0.0	0.000197355437142	0.0	0.000323519896474	0.000215146299484	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__BPC015;f__	0.0	0.0	5.6795592662e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.78125434571e-05	0.0	0.0	0.0	0.0	0.0	3.09568770702e-05	0.000126798960249	0.0	0.0	0.0	6.73355329607e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__	4.1755396885e-05	0.0	5.6795592662e-05	0.000112909296199	0.0	6.48424328881e-05	6.7576699554e-05	0.0	6.04485280783e-05	5.56250869142e-05	6.98519139424e-05	0.0	8.35352100911e-05	0.0	6.69971861182e-05	9.28706312107e-05	0.000126798960249	7.33944954128e-05	0.0	0.0	0.0	0.0	0.000131570291428	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	0.000584575556391	8.25286787159e-05	0.000511160333958	0.000677455777192	0.000315159155373	0.00032421216444	0.000810920394648	0.000478812544889	0.000392915432509	0.0001946878042	0.000488963397597	0.0	0.000250605630273	0.000837910809049	0.000401983116709	0.000433396278983	0.000380396880746	0.000293577981651	0.000466309162975	0.000535762121618	0.000471348730725	0.0	0.000263140582856	0.000299670362601	0.0	0.000215146299484	0.000849978750531
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424	0.000208776984425	8.25286787159e-05	0.000227182370648	0.000188182160331	0.000315159155373	0.0	0.000135153399108	0.000239406272444	3.02242640392e-05	8.34376303713e-05	0.0	0.0	0.0	0.0	0.000133994372236	3.09568770702e-05	6.33994801243e-05	3.66972477064e-05	0.0	0.0	6.73355329607e-05	0.000192864030858	0.000131570291428	0.0	0.0	0.000215146299484	0.0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__	0.0	0.0	5.6795592662e-05	0.0	0.0	0.0	6.7576699554e-05	5.98515681111e-05	3.02242640392e-05	2.78125434571e-05	0.0	0.0	0.0	9.31012010055e-05	6.69971861182e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__S035;o__;f__	0.000208776984425	0.0	5.6795592662e-05	3.76364320662e-05	0.0	6.48424328881e-05	0.000270306798216	5.98515681111e-05	0.000151121320196	0.000139062717285	0.0	0.0	8.35352100911e-05	9.31012010055e-05	0.000133994372236	0.000123827508281	6.33994801243e-05	0.000110091743119	0.0	0.0	0.000202006598882	0.0	6.57851457141e-05	0.0	0.0	0.0	0.0
